52,19,421,239,465,372
60,19,421,239,465,372
52,20,425,28,470,166
60,20,425,28,470,166
60,23,399,41,441,161
68,23,399,41,441,161
5,45,62,342,101,422
5,49,126,260,177,357
5,50,432,128,471,213
5,50,166,5,214,92
5,50,327,0,372,90
5,50,117,5,163,93
5,50,492,126,535,217
5,53,670,0,717,86
5,53,425,0,473,79
5,55,642,230,698,306
37,226,340,432,455,506
63,403,424,16,493,160
52,449,444,33,495,185
22,494,471,339,535,507
22,494,532,413,594,509
5,537,23,409,83,515
5,537,341,83,395,186
5,537,284,82,339,181
5,537,189,248,242,351
5,537,250,251,301,353
5,537,226,77,282,178
5,537,133,247,187,350
5,537,135,413,191,520
5,537,251,415,302,518
5,537,105,69,163,173
5,537,72,245,130,349
5,537,307,253,360,356
5,537,165,74,225,175
5,537,193,414,246,520
5,537,13,242,71,348
5,537,306,415,357,518
5,538,205,116,258,218
5,538,152,114,207,216
6,538,141,420,190,505
23,634,630,342,693,426
51,687,32,61,119,201
48,723,267,38,399,195
54,866,474,89,529,335
60,869,20,136,72,282
52,872,739,529,789,647
60,872,739,529,789,647
52,876,306,0,347,76
60,876,306,0,347,76
23,1063,777,516,861,647
60,1096,123,267,192,405
88,1119,17,8,825,646
34,1119,503,45,595,248
88,1119,503,45,595,248
34,1119,593,43,678,246
98,1166,225,341,308,446
23,1293,408,388,511,528
23,1307,393,391,471,587
23,1312,259,357,345,550
23,1312,108,357,194,549
34,1314,771,393,863,606
34,1319,320,397,405,583
34,1321,96,367,164,546
34,1332,689,547,769,648
34,1337,79,562,148,647
34,1337,395,361,470,513
34,1337,356,551,405,648
25,1341,51,315,110,481
34,1341,118,546,169,648
34,1342,46,175,112,356
25,1342,96,180,164,357
34,1342,96,180,164,357
34,1342,235,404,300,585
34,1344,84,56,182,256
34,1351,772,439,829,569
34,1353,278,533,334,647
34,1354,275,441,333,570
34,1360,331,29,390,175
88,1360,331,29,390,175
34,1362,388,317,443,463
34,1362,438,511,495,646
34,1365,292,281,335,444
34,1365,243,496,301,638
88,1365,243,496,301,638
34,1366,312,240,372,389
34,1367,315,250,371,406
34,1370,59,507,119,647
34,1370,47,299,89,456
88,1372,0,128,57,269
88,1372,49,121,113,267
88,1415,3,4,862,643
34,1432,587,110,655,266
34,1438,29,422,97,563
34,1440,1,59,84,221
34,1440,63,64,144,220
34,1459,125,248,222,412
88,1467,47,498,118,611
34,1492,602,91,678,223
34,1506,76,412,162,561
25,1506,805,454,852,584
34,1507,288,439,371,576
34,1507,367,440,449,577
34,1508,197,227,255,384
25,1508,749,46,805,195
88,1509,136,408,208,563
88,1511,730,448,805,605
34,1512,613,257,689,420
88,1512,613,257,689,420
88,1512,602,452,671,599
88,1514,632,289,711,452
88,1514,703,293,781,454
34,1519,473,136,542,296
34,1522,518,431,600,562
88,1534,2,2,862,646
17,1554,2,0,862,645
17,1555,2,0,860,647
34,1558,0,292,103,533
34,1558,93,293,192,528
17,1563,3,2,861,641
34,1568,718,507,820,647
88,1572,0,62,123,273
88,1579,102,103,180,271
34,1587,721,0,781,85
34,1605,146,266,219,407
88,1605,146,266,219,407
34,1608,368,556,456,647
34,1725,72,555,150,647
25,1725,612,536,695,647
34,1725,612,536,695,647
25,1727,460,312,506,437
34,1727,405,314,457,447
34,1727,416,142,482,265
34,1728,432,68,490,237
34,1732,803,537,863,647
34,1787,531,153,592,283
34,1866,413,375,481,576
34,1875,477,491,558,647
25,1878,492,0,544,87
